Gene ,Gene Name,miRNA ,Target Score,Human
Cyb5a,cytochrome b5 type A (microsomal),miR-124-3p,85,✓
Nap1l5,nucleosome assembly protein 1-like 5,miR-124-3p,85,✓
Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",miR-124-3p,85,✓
Plekhh1,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",miR-124-3p,85,✓
Zmpste24,"zinc metallopeptidase, STE24",miR-124-3p,85,✓
Zfp36l2,"zinc finger protein 36, C3H type-like 2",miR-124-3p,85,✓
Atxn1l,ataxin 1-like,miR-124-3p,85,✓
Crtc3,CREB regulated transcription coactivator 3,miR-124-3p,85,✓
Mkx,mohawk homeobox,miR-124-3p,85,✓
Slitrk3,"SLIT and NTRK-like family, member 3",miR-124-3p,85,✓
Sgms1,sphingomyelin synthase 1,miR-124-3p,85,✓
Kif2a,kinesin family member 2A,miR-124-3p,85,✓
Slc30a10,"solute carrier family 30, member 10",miR-124-3p,85,✓
Lclat1,lysocardiolipin acyltransferase 1,miR-124-3p,85,✓
Prlr,prolactin receptor,miR-124-3p,85,✓
Rnf216,ring finger protein 216,miR-124-3p,85,✓
Tanc2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",miR-146a-5p,84,✓
Nfat5,nuclear factor of activated T cells 5,miR-146a-5p,84,✓
Gid8,GID complex subunit 8,miR-146a-5p,84,✓
Cep170b,centrosomal protein 170B,miR-146a-5p,84,✓
Zfyve1,"zinc finger, FYVE domain containing 1",miR-146a-5p,84,✓
Zfp451,zinc finger protein 451,miR-183-5p,84,
Birc6,baculoviral IAP repeat-containing 6,miR-183-5p,84,✓
Nrp2,neuropilin 2,miR-183-5p,84,✓
Zeb1,zinc finger E-box binding homeobox 1,miR-183-5p,84,✓
Erbin,Erbb2 interacting protein,miR-183-5p,84,✓
Mbnl1,muscleblind like splicing factor 1,miR-183-5p,84,✓
Cpeb3,cytoplasmic polyadenylation element binding protein 3,miR-376b-5p,84,✓
Zfp1,zinc finger protein 1,miR-376b-5p,84,✓
Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",miR-376b-5p,84,✓
Secisbp2l,SECIS binding protein 2-like,miR-376b-5p,84,✓
Gm20939,"predicted gene, 20939",miR-376b-5p,84,
Cfh,complement component factor h,miR-182-5p,84,✓
Ndrg1,N-myc downstream regulated gene 1,miR-182-5p,84,✓
Myo1c,myosin IC,miR-182-5p,84,✓
Gad2,glutamic acid decarboxylase 2,miR-182-5p,84,✓
Pnpla8,patatin-like phospholipase domain containing 8,miR-182-5p,84,✓
Fbxw11,F-box and WD-40 domain protein 11,miR-182-5p,84,✓
Lrrc63,leucine rich repeat containing 63,miR-182-5p,84,✓
Rab10,"RAB10, member RAS oncogene family",miR-182-5p,84,✓
Cdh20,cadherin 20,miR-182-5p,84,✓
Casp2,caspase 2,miR-182-5p,84,✓
Klrb1b,killer cell lectin-like receptor subfamily B member 1B,miR-182-5p,84,
Stk19,serine/threonine kinase 19,miR-182-5p,84,✓
Ntn4,netrin 4,miR-182-5p,84,✓
Skil,SKI-like,miR-182-5p,84,✓
Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",miR-182-5p,84,✓
Tex2,testis expressed gene 2,miR-182-5p,84,✓
Abcb10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",miR-182-5p,84,✓
Slc35d1,"solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1",miR-182-5p,84,✓
Rimbp2,RIMS binding protein 2,miR-182-5p,84,✓
Stard13,StAR-related lipid transfer (START) domain containing 13,miR-182-5p,84,✓
Stxbp5,syntaxin binding protein 5 (tomosyn),miR-182-5p,84,✓
Mtch2,mitochondrial carrier 2,miR-182-5p,84,✓
Rwdd4a,RWD domain containing 4A,miR-182-5p,84,✓
Tmem189,transmembrane protein 189,miR-182-5p,84,✓
Hbegf,heparin-binding EGF-like growth factor,miR-182-5p,84,✓
Paip1,polyadenylate binding protein-interacting protein 1,miR-340-5p,84,✓
Med13,mediator complex subunit 13,miR-340-5p,84,✓
Frzb,frizzled-related protein,miR-340-5p,84,✓
Unkl,unkempt family like zinc finger,miR-340-5p,84,✓
Ppp4r4,"protein phosphatase 4, regulatory subunit 4",miR-340-5p,84,✓
Zfp449,zinc finger protein 449,miR-340-5p,84,
Lmx1a,LIM homeobox transcription factor 1 alpha,miR-340-5p,84,✓
Zswim5,zinc finger SWIM-type containing 5,miR-340-5p,84,✓
Pappa2,pappalysin 2,miR-340-5p,84,✓
Scarb2,"scavenger receptor class B, member 2",miR-340-5p,84,✓
Apln,apelin,miR-340-5p,84,✓
Epha5,Eph receptor A5,miR-340-5p,84,✓
Usp9x,"ubiquitin specific peptidase 9, X chromosome",miR-340-5p,84,✓
Zbtb6,zinc finger and BTB domain containing 6,miR-340-5p,84,✓
Gjc3,"gap junction protein, gamma 3",miR-340-5p,84,✓
Pparg,peroxisome proliferator activated receptor gamma,miR-340-5p,84,✓
Il21,interleukin 21,miR-340-5p,84,✓
Sh3gl3,SH3-domain GRB2-like 3,miR-340-5p,84,✓
Usp47,ubiquitin specific peptidase 47,miR-340-5p,84,✓
Epas1,endothelial PAS domain protein 1,miR-340-5p,84,✓
Evi2b,ecotropic viral integration site 2b,miR-340-5p,84,✓
Kbtbd6,kelch repeat and BTB (POZ) domain containing 6,miR-340-5p,84,✓
Abhd17c,abhydrolase domain containing 17C,miR-340-5p,84,✓
Evi2,ecotropic viral integration site 2,miR-340-5p,84,✓
Tmprss11f,"transmembrane protease, serine 11f",miR-340-5p,84,✓
Kif23,kinesin family member 23,miR-340-5p,84,✓
Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,miR-340-5p,84,✓
Tm9sf3,transmembrane 9 superfamily member 3,miR-340-5p,84,✓
Grk2,G protein-coupled receptor kinase 2,miR-340-5p,84,✓
Bcl2l11,BCL2-like 11 (apoptosis facilitator),miR-30e-5p,84,✓
Tia1,cytotoxic granule-associated RNA binding protein 1,miR-30e-5p,84,✓
Plxnc1,plexin C1,miR-30e-5p,84,✓
Itpk1,"inositol 1,3,4-triphosphate 5/6 kinase",miR-30e-5p,84,✓
Galnt3,polypeptide N-acetylgalactosaminyltransferase 3,miR-30e-5p,84,✓
Pcnx2,pecanex homolog 2,miR-30e-5p,84,✓
Nanos1,nanos C2HC-type zinc finger 1,miR-30e-5p,84,✓
Sep 08,septin 8,miR-30e-5p,84,✓
Kctd7,potassium channel tetramerisation domain containing 7,miR-30e-5p,84,✓
Dact1,dishevelled-binding antagonist of beta-catenin 1,miR-30e-5p,84,✓
Itgbl1,"integrin, beta-like 1",miR-30e-5p,84,✓
Dpy19l1,dpy-19-like 1 (C. elegans),miR-30e-5p,84,✓
Spcs3,signal peptidase complex subunit 3 homolog (S. cerevisiae),miR-30e-5p,84,✓
Nrxn3,neurexin III,miR-30e-5p,84,✓
Dpysl2,dihydropyrimidinase-like 2,miR-30e-5p,84,✓
Vip,vasoactive intestinal polypeptide,miR-30e-5p,84,✓
Nf1,neurofibromin 1,miR-30e-5p,84,✓
Mfsd11,major facilitator superfamily domain containing 11,miR-30e-5p,84,✓
Ifngr1,interferon gamma receptor 1,miR-30e-5p,84,✓
Vim,vimentin,miR-30e-5p,84,✓
Pcgf5,polycomb group ring finger 5,miR-30e-5p,84,✓
Sytl4,synaptotagmin-like 4,miR-30e-5p,84,✓
Sgk3,serum/glucocorticoid regulated kinase 3,miR-30e-5p,84,✓
Mier2,MIER family member 2,miR-30e-5p,84,✓
Jdp2,Jun dimerization protein 2,miR-30e-5p,84,✓
Dio2,"deiodinase, iodothyronine, type II",miR-30e-5p,84,✓
Lonrf1,LON peptidase N-terminal domain and ring finger 1,miR-30e-5p,84,✓
H2afy,"H2A histone family, member Y",miR-30e-5p,84,✓
Vkorc1l1,"vitamin K epoxide reductase complex, subunit 1-like 1",miR-30e-5p,84,✓
Plekho2,"pleckstrin homology domain containing, family O member 2",miR-30e-5p,84,✓
Pank3,pantothenate kinase 3,miR-30e-5p,84,✓
Jarid2,"jumonji, AT rich interactive domain 2",miR-30e-5p,84,✓
Arsk,arylsulfatase K,miR-124-3p,84,✓
Cdh9,cadherin 9,miR-124-3p,84,✓
Rnf19a,ring finger protein 19A,miR-124-3p,84,✓
Fndc3b,fibronectin type III domain containing 3B,miR-124-3p,84,✓
Itprip,"inositol 1,4,5-triphosphate receptor interacting protein",miR-124-3p,84,✓
Sos1,SOS Ras/Rac guanine nucleotide exchange factor 1,miR-124-3p,84,✓
C9orf72,"C9orf72, member of C9orf72-SMCR8 complex",miR-124-3p,84,✓
Bloc1s6,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",miR-124-3p,84,✓
Qsox1,quiescin Q6 sulfhydryl oxidase 1,miR-124-3p,84,✓
Glce,glucuronyl C5-epimerase,miR-124-3p,84,✓
Dact1,dishevelled-binding antagonist of beta-catenin 1,miR-124-3p,84,✓
Alx1,ALX homeobox 1,miR-124-3p,84,✓
Rassf5,Ras association (RalGDS/AF-6) domain family member 5,miR-124-3p,84,✓
Papolg,poly(A) polymerase gamma,miR-124-3p,84,✓
Mtmr10,myotubularin related protein 10,miR-124-3p,84,✓
Nol4,nucleolar protein 4,miR-124-3p,84,✓
Adgre1,adhesion G protein-coupled receptor E1,miR-124-3p,84,✓
Lims1,LIM and senescent cell antigen-like domains 1,miR-124-3p,84,✓
Minar1,membrane integral NOTCH2 associated receptor 1,miR-124-3p,84,✓
Prr5l,proline rich 5 like,miR-124-3p,84,✓
Dgat2,diacylglycerol O-acyltransferase 2,miR-124-3p,84,✓
Sh3kbp1,SH3-domain kinase binding protein 1,miR-124-3p,84,✓
Kdm5a,lysine (K)-specific demethylase 5A,miR-124-3p,84,✓
Chuk,conserved helix-loop-helix ubiquitous kinase,miR-124-3p,84,✓
Epha3,Eph receptor A3,miR-124-3p,84,✓
Mtr,5-methyltetrahydrofolate-homocysteine methyltransferase,miR-124-3p,84,✓
Ap1m2,"adaptor protein complex AP-1, mu 2 subunit",miR-124-3p,84,✓
Rlim,"ring finger protein, LIM domain interacting",miR-124-3p,84,✓
Tmco3,transmembrane and coiled-coil domains 3,miR-124-3p,84,✓
Kif26a,kinesin family member 26A,miR-124-3p,84,✓
Rhbdf1,rhomboid 5 homolog 1,miR-124-3p,84,✓
Fam53b,"family with sequence similarity 53, member B",miR-124-3p,84,✓
Far1,fatty acyl CoA reductase 1,miR-124-3p,84,✓
Ino80d,INO80 complex subunit D,miR-146a-5p,83,✓
Slc38a5,"solute carrier family 38, member 5",miR-146a-5p,83,✓
Sntn,"sentan, cilia apical structure protein",miR-146a-5p,83,✓
Bend4,BEN domain containing 4,miR-146a-5p,83,✓
Prg4,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)",miR-146a-5p,83,✓
Uqcrq,"ubiquinol-cytochrome c reductase, complex III subunit VII",miR-146a-5p,83,✓
Slc46a2,"solute carrier family 46, member 2",miR-146a-5p,83,✓
Map3k2,mitogen-activated protein kinase kinase kinase 2,miR-183-5p,83,✓
Noc3l,NOC3 like DNA replication regulator,miR-183-5p,83,✓
Gja5,"gap junction protein, alpha 5",miR-183-5p,83,✓
Shisa7,shisa family member 7,miR-183-5p,83,✓
Krtap31-1,keratin associated protein 31-1,miR-183-5p,83,
Cnot6l,"CCR4-NOT transcription complex, subunit 6-like",miR-183-5p,83,✓
L3mbtl3,L3MBTL3 histone methyl-lysine binding protein,miR-183-5p,83,✓
Prkch,"protein kinase C, eta",miR-183-5p,83,✓
Cd3d,"CD3 antigen, delta polypeptide",miR-183-5p,83,✓
Epdr1,ependymin related protein 1 (zebrafish),miR-183-5p,83,✓
Nfyc,nuclear transcription factor-Y gamma,miR-183-5p,83,✓
Itgb1,integrin beta 1 (fibronectin receptor beta),miR-183-5p,83,✓
Scyl3,SCY1-like 3 (S. cerevisiae),miR-183-5p,83,✓
Syt4,synaptotagmin IV,miR-376b-5p,83,✓
Heca,"hdc homolog, cell cycle regulator",miR-376b-5p,83,✓
Alox12,arachidonate 12-lipoxygenase,miR-376b-5p,83,✓
Eid1,EP300 interacting inhibitor of differentiation 1,miR-376b-5p,83,✓
Ttc26,tetratricopeptide repeat domain 26,miR-182-5p,83,✓
Ppp1r13b,"protein phosphatase 1, regulatory subunit 13B",miR-182-5p,83,✓
Zfp7,zinc finger protein 7,miR-182-5p,83,
Arrdc3,arrestin domain containing 3,miR-182-5p,83,✓
Gxylt1,glucoside xylosyltransferase 1,miR-182-5p,83,✓
Tctn3,tectonic family member 3,miR-182-5p,83,✓
Nuak1,"NUAK family, SNF1-like kinase, 1",miR-182-5p,83,✓
Slc2a12,"solute carrier family 2 (facilitated glucose transporter), member 12",miR-182-5p,83,✓
Phf21a,PHD finger protein 21A,miR-182-5p,83,✓
Lsm14a,LSM14A mRNA processing body assembly factor,miR-182-5p,83,✓
Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",miR-182-5p,83,✓
Atoh8,atonal bHLH transcription factor 8,miR-182-5p,83,✓
Tmem50b,transmembrane protein 50B,miR-182-5p,83,✓
Tnfaip8,"tumor necrosis factor, alpha-induced protein 8",miR-182-5p,83,✓
Zpbp,zona pellucida binding protein,miR-182-5p,83,✓
Selenoi,selenoprotein I,miR-182-5p,83,✓
Cobl,cordon-bleu WH2 repeat,miR-182-5p,83,✓
Nf1,neurofibromin 1,miR-182-5p,83,✓
Tnfrsf1b,"tumor necrosis factor receptor superfamily, member 1b",miR-182-5p,83,✓
Pygo2,pygopus 2,miR-182-5p,83,✓
Flot1,flotillin 1,miR-182-5p,83,✓
Gp1bb,"glycoprotein Ib, beta polypeptide",miR-182-5p,83,✓
Cd164,CD164 antigen,miR-182-5p,83,✓
Sh3kbp1,SH3-domain kinase binding protein 1,miR-182-5p,83,✓
Nr5a2,"nuclear receptor subfamily 5, group A, member 2",miR-182-5p,83,✓
Rere,arginine glutamic acid dipeptide (RE) repeats,miR-182-5p,83,✓
Mmp8,matrix metallopeptidase 8,miR-182-5p,83,✓
Creb1,cAMP responsive element binding protein 1,miR-182-5p,83,✓
Ildr2,immunoglobulin-like domain containing receptor 2,miR-182-5p,83,✓
Prrt3,proline-rich transmembrane protein 3,miR-182-5p,83,✓
Ocrl,"OCRL, inositol polyphosphate-5-phosphatase",miR-182-5p,83,✓
Sh3bp4,SH3-domain binding protein 4,miR-182-5p,83,✓
Dcaf12,DDB1 and CUL4 associated factor 12,miR-340-5p,83,✓
Azin1,antizyme inhibitor 1,miR-340-5p,83,✓
Pth2r,parathyroid hormone 2 receptor,miR-340-5p,83,✓
E130311K13Rik,RIKEN cDNA E130311K13 gene,miR-340-5p,83,
Ccnc,cyclin C,miR-340-5p,83,✓
Ifi202b,interferon activated gene 202B,miR-340-5p,83,
Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",miR-340-5p,83,✓
Cwc22,CWC22 spliceosome-associated protein,miR-340-5p,83,✓
Mug2,murinoglobulin 2,miR-340-5p,83,
Glce,glucuronyl C5-epimerase,miR-340-5p,83,✓
Atp6v0c,"ATPase, H+ transporting, lysosomal V0 subunit C",miR-340-5p,83,✓
Pde1c,phosphodiesterase 1C,miR-340-5p,83,✓
Rundc3b,RUN domain containing 3B,miR-340-5p,83,✓
En2,engrailed 2,miR-340-5p,83,✓
Siva1,"SIVA1, apoptosis-inducing factor",miR-340-5p,83,✓
Rad54b,RAD54 homolog B (S. cerevisiae),miR-340-5p,83,✓
Tns1,tensin 1,miR-340-5p,83,✓
Samd8,sterile alpha motif domain containing 8,miR-340-5p,83,✓
Kdm4c,lysine (K)-specific demethylase 4C,miR-340-5p,83,✓
Plxdc2,plexin domain containing 2,miR-340-5p,83,✓
Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",miR-340-5p,83,✓
Adamts19,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19",miR-340-5p,83,✓
Rbm27,RNA binding motif protein 27,miR-340-5p,83,✓
Galnt7,polypeptide N-acetylgalactosaminyltransferase 7,miR-340-5p,83,✓
Rimbp2,RIMS binding protein 2,miR-340-5p,83,✓
Ankrd13d,"ankyrin repeat domain 13 family, member D",miR-340-5p,83,✓
Rap1a,RAS-related protein 1a,miR-340-5p,83,✓
Sik3,SIK family kinase 3,miR-340-5p,83,✓
Sass6,SAS-6 centriolar assembly protein,miR-340-5p,83,✓
Wdr37,WD repeat domain 37,miR-340-5p,83,✓
Mbtps1,"membrane-bound transcription factor peptidase, site 1",miR-340-5p,83,✓
Hnf4g,"hepatocyte nuclear factor 4, gamma",miR-340-5p,83,✓
Phtf2,putative homeodomain transcription factor 2,miR-340-5p,83,✓
Plekhg4,"pleckstrin homology domain containing, family G (with RhoGef domain) member 4",miR-340-5p,83,✓
Nbr1,"NBR1, autophagy cargo receptor",miR-340-5p,83,✓
Fut9,fucosyltransferase 9,miR-340-5p,83,✓
Mboat1,membrane bound O-acyltransferase domain containing 1,miR-30e-5p,83,✓
Trp53inp1,transformation related protein 53 inducible nuclear protein 1,miR-30e-5p,83,
Tulp4,tubby like protein 4,miR-30e-5p,83,✓
Jade3,jade family PHD finger 3,miR-30e-5p,83,✓
Camk2n1,calcium/calmodulin-dependent protein kinase II inhibitor 1,miR-30e-5p,83,✓
Fkbp3,FK506 binding protein 3,miR-30e-5p,83,✓
Usp45,ubiquitin specific petidase 45,miR-30e-5p,83,✓
Ago1,argonaute RISC catalytic subunit 1,miR-30e-5p,83,✓
BC037034,cDNA sequence BC037034,miR-30e-5p,83,
Dennd2c,DENN/MADD domain containing 2C,miR-30e-5p,83,✓
Piezo2,piezo-type mechanosensitive ion channel component 2,miR-30e-5p,83,✓
Elavl4,ELAV like RNA binding protein 4,miR-30e-5p,83,✓
Bmp5,bone morphogenetic protein 5,miR-30e-5p,83,✓
Stag2,stromal antigen 2,miR-30e-5p,83,✓
Cpne8,copine VIII,miR-30e-5p,83,✓
Dock7,dedicator of cytokinesis 7,miR-30e-5p,83,✓
Scn8a,"sodium channel, voltage-gated, type VIII, alpha",miR-30e-5p,83,✓
Ap1s2,"adaptor-related protein complex 1, sigma 2 subunit",miR-30e-5p,83,✓
Sh2b3,SH2B adaptor protein 3,miR-30e-5p,83,✓
Wwtr1,WW domain containing transcription regulator 1,miR-30e-5p,83,✓
Psd3,pleckstrin and Sec7 domain containing 3,miR-30e-5p,83,✓
Fam13c,"family with sequence similarity 13, member C",miR-30e-5p,83,✓
Brwd3,bromodomain and WD repeat domain containing 3,miR-30e-5p,83,✓
Pax3,paired box 3,miR-30e-5p,83,✓
Phtf2,putative homeodomain transcription factor 2,miR-30e-5p,83,✓
Proser1,proline and serine rich 1,miR-30e-5p,83,✓
Gm20767,"predicted gene, 20767",miR-30e-5p,83,
Mdm4,transformed mouse 3T3 cell double minute 4,miR-30e-5p,83,✓
Ddx3x,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked",miR-124-3p,83,✓
Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",miR-124-3p,83,✓
Rab11fip1,RAB11 family interacting protein 1 (class I),miR-124-3p,83,✓
Ppp1r13l,"protein phosphatase 1, regulatory subunit 13 like",miR-124-3p,83,✓
Lnpk,"lunapark, ER junction formation factor",miR-124-3p,83,✓
Pml,promyelocytic leukemia,miR-124-3p,83,✓
Fzd4,frizzled class receptor 4,miR-124-3p,83,✓
Sox8,SRY (sex determining region Y)-box 8,miR-124-3p,83,✓
Wtap,Wilms tumour 1-associating protein,miR-124-3p,83,✓
Kank1,KN motif and ankyrin repeat domains 1,miR-124-3p,83,✓
Chst1,carbohydrate sulfotransferase 1,miR-124-3p,83,✓
Mob1b,MOB kinase activator 1B,miR-124-3p,83,✓
Arfgef2,ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited),miR-124-3p,83,✓
Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2",miR-124-3p,83,✓
Wipf3,"WAS/WASL interacting protein family, member 3",miR-124-3p,83,✓
Pim3,proviral integration site 3,miR-124-3p,83,✓
Thap2,"THAP domain containing, apoptosis associated protein 2",miR-124-3p,83,✓
Aff1,"AF4/FMR2 family, member 1",miR-124-3p,83,✓
Wrn,Werner syndrome RecQ like helicase,miR-124-3p,83,✓
Sh3rf1,SH3 domain containing ring finger 1,miR-124-3p,83,✓
Slc35g1,"solute carrier family 35, member G1",miR-124-3p,83,✓
Pemt,phosphatidylethanolamine N-methyltransferase,miR-124-3p,83,✓
Snta1,"syntrophin, acidic 1",miR-124-3p,83,✓
Orc2,"origin recognition complex, subunit 2",miR-124-3p,83,✓
Plekhf2,"pleckstrin homology domain containing, family F (with FYVE domain) member 2",miR-124-3p,83,✓
Ddx6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,miR-124-3p,83,✓
P2ry1,"purinergic receptor P2Y, G-protein coupled 1",miR-146a-5p,82,✓
Gatb,"glutamyl-tRNA(Gln) amidotransferase, subunit B",miR-146a-5p,82,✓
Ptpra,"protein tyrosine phosphatase, receptor type, A",miR-146a-5p,82,✓
Zfp532,zinc finger protein 532,miR-146a-5p,82,
Cnr2,cannabinoid receptor 2 (macrophage),miR-183-5p,82,✓
Gmfb,"glia maturation factor, beta",miR-183-5p,82,✓
Pam,peptidylglycine alpha-amidating monooxygenase,miR-183-5p,82,✓
Lhfpl2,lipoma HMGIC fusion partner-like 2,miR-183-5p,82,✓
Samd4,sterile alpha motif domain containing 4,miR-183-5p,82,✓
Zbtb34,zinc finger and BTB domain containing 34,miR-183-5p,82,✓
Grem2,"gremlin 2, DAN family BMP antagonist",miR-183-5p,82,✓
Nufip2,nuclear fragile X mental retardation protein interacting protein 2,miR-183-5p,82,✓
Tmsb4x,"thymosin, beta 4, X chromosome",miR-183-5p,82,✓
Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1",miR-183-5p,82,✓
Neu3,neuraminidase 3,miR-183-5p,82,✓
Rab8b,"RAB8B, member RAS oncogene family",miR-183-5p,82,✓
Atl2,atlastin GTPase 2,miR-183-5p,82,✓
Ptprt,"protein tyrosine phosphatase, receptor type, T",miR-376b-5p,82,✓
Dazl,deleted in azoospermia-like,miR-376b-5p,82,✓
Ift88,intraflagellar transport 88,miR-376b-5p,82,✓
Rasa1,RAS p21 protein activator 1,miR-376b-5p,82,✓
Rhobtb1,Rho-related BTB domain containing 1,miR-182-5p,82,✓
Tfpi,tissue factor pathway inhibitor,miR-182-5p,82,✓
Ralgapb,"Ral GTPase activating protein, beta subunit (non-catalytic)",miR-182-5p,82,✓
Pdia4,protein disulfide isomerase associated 4,miR-182-5p,82,✓
Amph,amphiphysin,miR-182-5p,82,✓
Arhgdia,Rho GDP dissociation inhibitor (GDI) alpha,miR-182-5p,82,✓
Fam169a,"family with sequence similarity 169, member A",miR-182-5p,82,✓
Spats2l,"spermatogenesis associated, serine-rich 2-like",miR-182-5p,82,✓
B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",miR-182-5p,82,✓
Lrrk1,leucine-rich repeat kinase 1,miR-182-5p,82,✓
Ano6,anoctamin 6,miR-182-5p,82,✓
Rab6b,"RAB6B, member RAS oncogene family",miR-182-5p,82,✓
Mef2c,myocyte enhancer factor 2C,miR-182-5p,82,✓
Lcn9,lipocalin 9,miR-182-5p,82,✓
Epha3,Eph receptor A3,miR-182-5p,82,✓
Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",miR-182-5p,82,✓
Zdhhc2,"zinc finger, DHHC domain containing 2",miR-182-5p,82,✓
Zfp69,zinc finger protein 69,miR-182-5p,82,✓
Wnt4,"wingless-type MMTV integration site family, member 4",miR-182-5p,82,✓
Tspan9,tetraspanin 9,miR-182-5p,82,✓
Insig1,insulin induced gene 1,miR-182-5p,82,✓
Tmem106b,transmembrane protein 106B,miR-340-5p,82,✓
Slc4a8,"solute carrier family 4 (anion exchanger), member 8",miR-340-5p,82,✓
Bmt2,base methyltransferase of 25S rRNA 2,miR-340-5p,82,✓
Ammecr1l,AMME chromosomal region gene 1-like,miR-340-5p,82,✓
Prpsap2,phosphoribosyl pyrophosphate synthetase-associated protein 2,miR-340-5p,82,✓
Neto2,neuropilin (NRP) and tolloid (TLL)-like 2,miR-340-5p,82,✓
Brip1,BRCA1 interacting protein C-terminal helicase 1,miR-340-5p,82,✓
Tfdp1,transcription factor Dp 1,miR-340-5p,82,✓
Med28,mediator complex subunit 28,miR-340-5p,82,✓
Selenot,selenoprotein T,miR-340-5p,82,✓
Zbtb34,zinc finger and BTB domain containing 34,miR-340-5p,82,✓
Lrp12,low density lipoprotein-related protein 12,miR-340-5p,82,✓
Robo1,roundabout guidance receptor 1,miR-340-5p,82,✓
Calm1,calmodulin 1,miR-340-5p,82,✓
Mtx3,metaxin 3,miR-340-5p,82,✓
Cdc42,cell division cycle 42,miR-340-5p,82,✓
Asb3,ankyrin repeat and SOCS box-containing 3,miR-340-5p,82,✓
Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha",miR-340-5p,82,✓
Ugt2b37,"UDP glucuronosyltransferase 2 family, polypeptide B37",miR-340-5p,82,
Orc4,"origin recognition complex, subunit 4",miR-340-5p,82,✓
Cntn1,contactin 1,miR-340-5p,82,✓
Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105",miR-340-5p,82,✓
Foxn2,forkhead box N2,miR-340-5p,82,✓
Tmem108,transmembrane protein 108,miR-340-5p,82,✓
Rnh1,ribonuclease/angiogenin inhibitor 1,miR-340-5p,82,✓
Heatr3,HEAT repeat containing 3,miR-340-5p,82,✓
Dusp11,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting),miR-340-5p,82,✓
Usp13,ubiquitin specific peptidase 13 (isopeptidase T-3),miR-340-5p,82,✓
Zfp715,zinc finger protein 715,miR-340-5p,82,
Ppp2r5a,"protein phosphatase 2, regulatory subunit B', alpha",miR-340-5p,82,✓
Snx6,sorting nexin 6,miR-340-5p,82,✓
Pptc7,PTC7 protein phosphatase homolog,miR-340-5p,82,✓
Nr1d2,"nuclear receptor subfamily 1, group D, member 2",miR-340-5p,82,✓
Ick,intestinal cell kinase,miR-340-5p,82,✓
Ddx19b,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b,miR-30e-5p,82,✓
Snrpn,small nuclear ribonucleoprotein N,miR-30e-5p,82,✓
Rad23b,"RAD23 homolog B, nucleotide excision repair protein",miR-30e-5p,82,✓
Gper1,G protein-coupled estrogen receptor 1,miR-30e-5p,82,✓
Tmem200a,transmembrane protein 200A,miR-30e-5p,82,✓
Sall4,spalt like transcription factor 4,miR-30e-5p,82,✓
Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",miR-30e-5p,82,✓
C77080,expressed sequence C77080,miR-30e-5p,82,
Hbs1l,Hbs1-like (S. cerevisiae),miR-30e-5p,82,✓
Zbtb34,zinc finger and BTB domain containing 34,miR-30e-5p,82,✓
Galnt2,polypeptide N-acetylgalactosaminyltransferase 2,miR-30e-5p,82,✓
Zmynd8,"zinc finger, MYND-type containing 8",miR-30e-5p,82,✓
Aox2,aldehyde oxidase 2,miR-30e-5p,82,
Gm4871,predicted gene 4871,miR-30e-5p,82,
Slc35f3,"solute carrier family 35, member F3",miR-30e-5p,82,✓
Cadm2,cell adhesion molecule 2,miR-30e-5p,82,✓
Hectd2,HECT domain E3 ubiquitin protein ligase 2,miR-30e-5p,82,✓
Efna3,ephrin A3,miR-30e-5p,82,✓
Scel,sciellin,miR-30e-5p,82,✓
Tdg,thymine DNA glycosylase,miR-30e-5p,82,✓
